a52dec 0.8.0-2
karchive5 5.116.0-1
kasts 25.08.1-1
kate 25.08.1-1
katomic 25.08.1-1
kauth 6.18.0-1
kauth5 5.116.0-1
kbackup 25.08.1-1
kbd 2.8.0-1
kblackbox 25.08.1-1
kblocks 25.08.1-1
kbookmarks 6.18.0-1
kbookmarks5 5.116.0-1
kbounce 25.08.1-1
kbreakout 25.08.1-1
kbruch 25.08.1-1
kcachegrind 25.08.1-1
kcachegrind-common 25.08.1-1
kcalc 25.08.1-1
kcalendarcore 6.18.0-1
kcalendarcore5 5.116.0-1
kcalutils 25.08.1-1
kcharselect 25.08.1-1
kclock 25.08.1-1
kcmutils 6.18.0-1
kcmutils5 5.116.0-1
kcodecs 6.18.0-1
kcodecs5 5.116.0-1
kcolorchooser 25.08.1-1
kcolorpicker 0.3.1-4
kcolorpicker-qt5 0.3.1-4
kcolorscheme 6.18.0-1
kcompletion 6.18.0-1
kcompletion5 5.116.0-1
kconfig 6.18.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.18.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.18.0-1
kcontacts5 5.116.0-1
kcoreaddons 6.18.0-1
kcoreaddons5 5.116.0-1
kcrash 6.18.0-1
kcrash5 5.116.0-1
kcron 25.08.1-1
kdav 1:6.18.0-1
kdav5 1:5.115.0-1
kdbusaddons 6.18.0-1
kdbusaddons5 5.116.0-1
kde-cli-tools 6.4.5-1
kde-dev-scripts 25.08.1-1
kde-dev-utils 25.08.1-1
kde-gtk-config 6.4.5-1
kde-inotify-survey 25.08.1-1
kdebugsettings 25.08.1-1
kdeclarative 6.18.0-1
kdeclarative5 5.116.0-1
kdeconnect 25.08.1-1
kdecoration 6.4.5-1
kded 6.18.0-1
kded5 5.116.0-1
kdeedu-data 25.08.1-1
kdegraphics-mobipocket 25.08.1-1
kdegraphics-thumbnailers 25.08.1-1
kdelibs4support 5.116.0-2
kdelibs4support-debug 5.116.0-2
kdenetwork-filesharing 25.08.1-1
kdenlive 25.08.1-1
kdepim-addons 25.08.1-1
kdepim-runtime 25.08.1-1
kdeplasma-addons 6.4.5-1
kdesdk-kio 25.08.1-1
kdesdk-thumbnailers 25.08.1-1
kdesignerplugin-debug 5.116.0-2
kdesu 6.18.0-1
kdesu5 5.116.0-1
kdevelop 25.08.1-1
kdevelop-php 25.08.1-1
kdevelop-python 25.08.1-1
kdf 25.08.1-1
kdiagram 3.0.1-3
kdiagram5 2.8.0-1
kdialog 25.08.1-1
kdiamond 25.08.1-1
kdnssd 6.18.0-1
kdnssd5 5.116.0-1
kdoctools 6.18.0-1
kdoctools5 5.116.0-2
kdsingleapplication 1.2.0-1
kdsoap-qt5 2.2.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keditbookmarks 25.08.1-1
kemoticons 5.116.0-2
kemoticons-debug 5.116.0-2
keyserver-rank 1.2.4-2
keysmith 25.08.1-1
keyutils 1.6.3-3
kfilemetadata 6.18.0-1
kfilemetadata5 5.116.0-2
kfind 25.08.1-1
kfourinline 25.08.1-1
kgamma 6.4.5-1
kgeography 25.08.1-1
kget 25.08.1-1
kglobalaccel 6.18.0-1
kglobalaccel5 5.116.0-1
kglobalacceld 6.4.5-1
kgoldrunner 25.08.1-1
kgpg 25.08.1-1
kguiaddons 6.18.0-1
kguiaddons5 5.116.0-1
khangman 25.08.1-1
khealthcertificate 25.08.1-1
khelpcenter 25.08.1-1
kholidays 1:6.18.0-1
kholidays5 1:5.116.0-1
khotkeys 5.27.10-1
khtml 5.115.0-1
ki18n 6.18.0-1
ki18n5 5.116.0-1
kiconthemes 6.18.0-1
kiconthemes5 5.116.0-1
kidentitymanagement 25.08.1-1
kidletime 6.18.0-1
kidletime5 5.116.0-1
kig 25.08.1-1
kigo 25.08.1-1
killbots 25.08.1-1
kimageannotator 0.7.1-3
kimageannotator-qt5 0.7.1-3
kimageformats 6.18.0-2
kimagemapeditor 25.08.1-1
kimap 25.08.1-1
kinfocenter 6.4.5-1
kinit 5.116.0-1
kio 6.18.0-1
kio-admin 25.08.1-1
kio-extras 25.08.1-2
kio-fuse 5.1.0-5
kio-gdrive 25.08.1-1
kio-zeroconf 25.08.1-1
kio5 5.116.0-2
kirigami 6.18.0-1
kirigami-addons 1.9.0-1
kirigami-addons5 0.11.0-8
kirigami-addons5-debug 0.11.0-8
kirigami-gallery 25.08.1-1
kirigami2 5.116.0-1
kiriki 25.08.1-1
kitemmodels 6.18.0-1
kitemmodels5 5.116.0-1
kitemviews 6.18.0-1
kitemviews5 5.116.0-1
kiten 25.08.1-1
kitinerary 25.08.1-2
kitty 0.42.2-1
kitty-shell-integration 0.42.2-1
kitty-terminfo 0.42.2-1
kjobwidgets 6.18.0-1
kjobwidgets5 5.116.0-1
kjournald 25.08.1-1
kjs 5.115.0-1
kjumpingcube 25.08.1-1
kldap 25.08.1-1
kleopatra 25.08.1-1
klettres 25.08.1-1
klevernotes-git 0.1_r598.g0b7d10a-1
klevernotes-git-debug 0.1_r598.g0b7d10a-1
klickety 25.08.1-1
klines 25.08.1-1
kmag 25.08.1-1
kmahjongg 25.08.1-1
kmail 25.08.1-1
kmail-account-wizard 25.08.1-1
kmailtransport 25.08.1-1
kmbox 25.08.1-1
kmenuedit 6.4.5-1
kmime 25.08.1-1
kmines 25.08.1-1
kmix 25.08.1-1
kmod 34.2-1
kmousetool 25.08.1-1
kmouth 25.08.1-1
kmplot 25.08.1-1
knavalbattle 25.08.1-1
knetwalk 25.08.1-1
knewstuff 6.18.0-1
knewstuff5 5.116.0-3
knights 25.08.1-1
knotes 24.05.2-1
knotifications 6.18.0-1
knotifications5 5.116.0-2
knotifyconfig 6.18.0-1
knotifyconfig5 5.116.0-1
koko 25.08.1-1
kolf 25.08.1-1
kollision 25.08.1-1
kolourpaint 25.08.1-1
kompare 25.08.1-1
kompose 1.37.0-1
kondo 0.8-1
kongress 25.08.1-1
konqueror 25.08.1-1
konquest 25.08.1-1
konsole 25.08.1-1
kontact 25.08.1-1
kontactinterface 25.08.1-1
kontrast 25.08.1-1
konversation 25.08.1-1
kopeninghours 25.08.1-1
korganizer 25.08.1-1
kosmindoormap 25.08.1-2
kpackage 6.18.0-1
kpackage5 5.116.0-1
kparts 6.18.0-1
kparts5 5.116.0-1
kpat 25.08.1-1
kpeople 6.18.0-1
kpeople5 5.116.0-1
kpeoplevcard 0.1-2
kpimtextedit 25.08.1-1
kpipewire 6.4.5-1
kpkpass 25.08.1-1
kplotting 6.18.0-1
kplotting5 5.116.0-1
kpmcore 25.08.1-1
kpty 6.18.0-1
kpty5 5.116.0-1
kpublictransport 25.08.1-1
kqtquickcharts 25.08.1-1
kquickcharts 6.18.0-1
kquickcharts5 5.115.0-1
kquickimageeditor 0.5.1-1
kquickimageeditor5 0.3.0-4
kquickimageeditor5-debug 0.3.0-4
krb5 1.21.3-2
krdc 25.08.1-1
krecorder 25.08.1-1
kreversi 25.08.1-1
krfb 25.08.1-1
krita 5.2.13-1
kross 5.116.0-1
kruler 25.08.1-1
krunner 6.18.0-1
krunner5 5.115.0-4
krunner5-debug 5.115.0-4
ksanecore 25.08.1-1
ksanecore5 24.08.3-1
kscreen 6.4.5-1
kscreenlocker 6.4.5-1
kservice 6.18.0-1
kservice5 5.116.0-1
kshisen 25.08.1-1
ksirk 25.08.1-1
ksmtp 25.08.1-1
ksnakeduel 25.08.1-1
ksnip 1.10.1-4
kspaceduel 25.08.1-1
ksquares 25.08.1-1
ksshaskpass 6.4.5-1
kstatusnotifieritem 6.18.0-1
ksudoku 25.08.1-1
ksvg 6.18.0-1
ksystemlog 25.08.1-1
ksystemstats 6.4.5-1
kteatime 25.08.1-1
ktextaddons 1.7.1-1
ktexteditor 6.18.0-1
ktexteditor5 5.116.0-1
ktexttemplate 6.18.0-1
ktextwidgets 6.18.0-1
ktextwidgets5 5.116.0-1
ktimer 25.08.1-1
ktnef 25.08.1-1
ktorrent 25.08.1-1
ktouch 25.08.1-1
ktrip 25.08.1-1
ktuberling 25.08.1-1
kturtle 25.08.1-1
kubrick 25.08.1-1
kunifiedpush 25.08.1-1
kunitconversion 6.18.0-1
kunitconversion5 5.116.0-1
kuserfeedback 6.18.0-1
kvantum 1.1.5-1
kwallet 6.18.0-1
kwallet-pam 6.4.5-1
kwallet5 5.116.0-3
kwalletmanager 25.08.1-1
kwave 25.08.1-1
kwayland 6.4.5-1
kwayland-integration 6.4.5-1
kwayland5 5.116.0-1
kweather 25.08.1-1
kweathercore 25.08.1-1
kwidgetsaddons 6.18.0-1
kwidgetsaddons5 5.116.0-1
kwin 6.4.5-3
kwindowsystem 6.18.0-1
kwindowsystem5 5.116.0-1
kwordquiz 25.08.1-1
kwrited 6.4.5-1
kxmlgui 6.18.0-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-6
lapack 3.12.1-2
lapce 0.4.5-1
layer-shell-qt 6.4.5-1
lazygit 0.55.1-1
lcms2 2.17-1
ldb 2:4.23.0-2
ldns 1.8.4-1
leancrypto 1.5.1-1
lensfun 1:0.3.4-5
leptonica 1.86.0-1
less 1:679-1
lf 38-1
lib2geom 1.4-2
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.14-1
lib32-alsa-plugins 1.2.12-1
lib32-attr 2.5.2-1
lib32-audit 4.0.5-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.16.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.3-1
lib32-expat 2.7.2-1
lib32-faudio 25.08-1
lib32-faudio-debug 25.08-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.1-1
lib32-gcc-libs 15.2.1+r22+gc4e96a094636-1
lib32-gettext 0.25-1
lib32-glib2 2.86.0-2
lib32-glibc 2.42+r17+gd7274d718e6f-1
lib32-glu 9.0.3-2
lib32-harfbuzz 11.5.1-1
lib32-icu 76.1-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-lcms2 2.17-1
lib32-libcap 2.76-1
lib32-libdrm 2.4.125-1
lib32-libelf 0.193-4
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.11.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.55-1
lib32-libice 1.1.1-2
lib32-libidn2 2.3.7-1
lib32-libjpeg-turbo 3.1.2-1
lib32-libldap 2.6.10-1
lib32-libnghttp2 1.67.1-1
lib32-libnghttp3 1.11.0-1
lib32-libnl 3.11.0-1
lib32-libnsl 2.0.1-1
lib32-libpcap 1.10.5-3
lib32-libpciaccess 0.18.1-1
lib32-libpng 1.6.50-1
lib32-libpng12 1.2.59-3
lib32-libpsl 0.21.5-1
lib32-libsm 1.2.4-2
lib32-libssh2 1.11.1-1
lib32-libtiff 4.7.1-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.3-1
lib32-libunwind 1.8.1-1
lib32-libusb 1.0.29-1
lib32-libx11 1.8.12-2
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.38-1
lib32-libxcursor 1.2.3-1
lib32-libxdamage 1.1.6-2
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxi 1.8.2-1
lib32-libxkbcommon 1.11.0-1
lib32-libxml2 2.15.0-1
lib32-libxrandr 1.5.4-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:20.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:25.2.3-2
lib32-ncurses 6.5-2
lib32-openssl 1:3.5.3-1
lib32-pam 1.7.0-1
lib32-pcre 8.45-4
lib32-pcre2 10.46-1
lib32-readline 8.2.013-1
lib32-sdl2-compat 2.32.56-1
lib32-sdl3 3.2.20-1
lib32-spirv-tools 1:1.4.321.0-1
lib32-systemd 258-1
lib32-util-linux 2.41.2-1
lib32-vulkan-icd-loader 1.4.321.0-1
lib32-wayland 1.23.1-1
lib32-xz 5.8.1-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.7-2
libabw 0.1.3-5
libaccounts-glib 1.27-3
libaccounts-qt 1.17-1
libadwaita 1:1.8.0-1
libaec 1.1.4-2
libaio 0.3.113-3
libajantv2 1:17.1.0-2
libajantv2-debug 1:17.1.0-2
libakonadi 25.08.1-1
libao 1.2.2-7
libappimage 1.0.4.5-10
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.8.1-1
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-7
libatomic_ops 7.8.2-1
libavc1394 0.5.4-7
libavif 1.3.0-1
libavtp 0.2.0-3
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.3.1-1
libblockdev-crypto 3.3.1-1
libblockdev-fs 3.3.1-1
libblockdev-loop 3.3.1-1
libblockdev-mdraid 3.3.1-1
libblockdev-nvme 3.3.1-1
libblockdev-part 3.3.1-1
libblockdev-swap 3.3.1-1
libbluray 1.3.4-3
libbpf 1.5.1-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libburn 1.5.6-1
libbytesize 2.11-1
libc++ 20.1.6-2
libc++abi 20.1.6-2
libcaca 0.99.beta20-5
libcacard 2.8.1-1
libcamera 0.5.2-1
libcamera-ipa 0.5.2-1
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.76-1
libcap-ng 0.8.5-3
libcbor 0.12.0-1
libcddb 1.3.2-7
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-2
libcheese 44.1-5
libcloudproviders 0.3.6-2
libcmis 0.6.2-5
libcolord 1.4.8-1
libconfig 1.8.1-1
libcroco 0.6.13-2
libcups 2:2.4.14-1
libcupsfilters 2.1.1-2
libdaemon 0.14-6
libdatachannel 0.23.2-2
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdbusmenu-qt5 0.9.3+16.04.20160218-7
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.16-1
libdecor 0.2.3-1
libdeflate 1.24-1
libdispatch 6.1-1
libdisplay-info 0.3.0-1
libdmtx 0.7.8-1
libdovi 3.3.2-1
libdrm 2.4.125-1
libdv 1.0.0-11
libdvbpsi 1:1.3.3-3
libdvdcss 1.4.3-2
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-18
libebml 1.4.5-1
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.5.0-1
libelf 0.193-5
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.12-3
libev 4.33-4
libevdev 1.13.4-1
libevent 2.1.12-4
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfabric 2.2.0-1
libfakekey 0.3-4
libfdk-aac 2.0.3-1
libffi 3.5.2-1
libfm 1.4.0-1
libfm-extra 1.4.0-1
libfm-gtk2 1.4.0-1
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-5
libftdi 1.5-7
libfyaml 0.9-1
libgccjit 15.2.1+r22+gc4e96a094636-1
libgcrypt 1.11.2-1
libgdata 0.18.1-4
libgedit-amtk 5.9.1-1
libgedit-gfls 1:0.3.0-1
libgedit-gtksourceview 299.5.0-2
libgedit-tepl 6.13.0-1
libgee 0.20.8-1
libgexiv2 0.14.6-1
libgirepository 1.86.0-1
libgit2 1:1.9.1-1
libglade 2.6.4-9
libglade-debug 2.6.4-9
libglvnd 1.7.0-3
libgme 0.6.4-1
libgnomekbd 1:3.28.1-1
libgoa 3.56.0-1
libgoom2 2k4-5
libgpg-error 1.55-1
libgphoto2 2.5.32-3
libgravatar 25.08.1-1
libgsf 1.14.53-2
libgssglue 0.9-1
libgtop 2.41.3-2
libgudev 238-3
libgusb 0.4.9-2
libgxps 0.3.2-5
libhandy 1.8.3-2
libheif 1.20.2-1
libibus 1.5.32-1
libical 3.0.20-2
libice 1.1.2-1
libid3tag 0.16.3-2
libidn 1.43-1
libidn2 2.3.7-1
libiec61883 1.2.0-9
libieee1284 0.2.11-18
libimagequant 4.4.0-1
libimobiledevice 1.3.0-17
libimobiledevice-glue 1.3.2-1
libindicator-gtk3 12.10.1-10
libinih 61-1
libinput 1.29.1-1
libinstpatch 1.1.7-2
libisl 0.27-1
libisoburn 1.5.6-1
libisofs 1.5.6-1
libixion 0.20.0-2
libjcat 0.2.3-2
libjpeg-turbo 3.1.2-1
libjuice 1.6.2-1
libjxl 0.11.1-4
libkate 0.4.3-1
libkcddb 25.08.1-1
libkcddb5 24.05.2-1
libkcompactdisc 25.08.1-1
libkdcraw 25.08.1-1
libkdcraw5 25.08.1-1
libkdegames 25.08.1-1
libkdepim 25.08.1-1
libkeduvocdocument 25.08.1-1
libkexiv2 25.08.1-1
libkeybinder3 0.3.2-5
libkgapi 25.08.1-1
libkleo 25.08.1-1
libkmahjongg 25.08.1-1
libkolabxml 1.3.1-6
libkomparediff2 25.08.1-1
libksane 25.08.1-1
libksane5 24.08.3-1
libksba 1.6.7-2
libkscreen 6.4.5-1
libksieve 25.08.1-1
libksysguard 6.4.5-1
libktorrent 25.08.1-1
liblangtag 0.6.7-2
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.10-2
libldap24 2.4.59-4
libldap24-debug 2.4.59-4
libliftoff 0.5.0-1
liblouis 3.35.0-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
libltc 1.3.2-2
libluv 1.48.0_2-1
liblzf 3.6-5
libmad 0.15.1b-10
libmalcontent 0.13.1-1
libmanette 0.2.12-1
libmatroska 1.7.1-2
libmaxminddb 1.12.2-2
libmbim 1.32.0-1
libmd 1.1.0-2
libmfx 23.2.2-5
libmicrodns 0.2.0-2
libmikmod 3.3.13-1
libmm-glib 1.24.2-1
libmms 0.6.4-5
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmpd 11.8.17-6
libmpdclient 2.23-1
libmpeg2 0.5.1-11
libmspack 1:1.11-1
libmspub 0.1.4-17
libmsym 0.2.3-10
libmtp 1.1.22-1
libmupdf 1.26.8-1
libmusicbrainz5 5.1.0-9
libmwaw 0.3.22-3
libmypaint 1.6.1-2
libmysofa 1.3.3-1
libnautilus-extension 49.0-1
libnbd 1.22.4-1
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.0-1
libnghttp2 1.67.1-1
libnghttp3 1.11.0-1
libngtcp2 1.15.1-1
libnice 0.1.22-2
libnl 3.11.0-1
libnm 1.54.1-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.6-1
libnsl 2.0.1-1
libnumbertext 1.0.11-2
libnvme 1.15-1
libodfgen 0.1.8-5
libofa 0.9.3-10
libogg 1.3.6-1
liboggz 1.1.3-1
libolm 3.2.16-5
libomemo-c 0.5.1-1
libomxil-bellagio 0.9.3-5
libopenmpt 0.8.3-1
libopenraw 0.3.7-2
liborcus 0.20.2-1
libosinfo 1.12.0-2
libotf 0.9.16-6
libotr 4.1.1-6
libp11-kit 0.25.9-1
libpackagekit-glib 1.3.1-1
libpagemaker 0.0.4-4
libpaper 2.2.6-1
libpcap 1.10.5-3
libpciaccess 0.18.1-2
libpeas 1.36.0-7
libpfm 4.13.0+r83+g91970fe-1
libpgm 5.3.128-3
libphonenumber 1:9.0.15-1
libpipeline 1.5.8-1
libpipewire 1:1.4.8-2
libplacebo 7.351.0-2
libplasma 6.4.5-1
libplist 2.7.0-1
libpng 1.6.50-1
libpng12 1.2.59-2
libportal 0.9.1-2
libportal-gtk3 0.9.1-2
libportal-gtk4 0.9.1-2
libppd 2.1.1-1
libprocps 3.3.17-4
libproxy 0.5.11-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libqaccessibilityclient-qt5 0.6.0-1
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.7.0-1
libqmi 1.36.0-1
libqrtr-glib 1.2.2-4
libquotient 0.9.5-1
libqxp 0.0.2-13
libraqm 0.10.3-1
libraw 0.21.4-1
libraw1394 2.1.2-4
libreoffice-fresh 25.8.1-2
librest 0.10.2-1
librevenge 0.0.5-3
librsvg 2:2.61.1-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsidplay 1.36.59-10
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsignal-protocol-c 2.3.3-2
libsigsegv 2.15-1
libsixel 1.10.5-1
libslirp 4.9.1-1
libsm 1.2.6-1
libsmbios 2.4.3-8
libsndfile 1.2.2-3
libsodium 1.0.20-1
libsonic 0.2.0-2
libsoup 2.74.3-4
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libspectre 0.2.12-2
libspeechd 0.12.1-2
libspiro 1:20240903-1
libsrtp 1:2.7.0-1
libssh 0.11.3-1
libssh2 1.11.1-1
libstaroffice 0.0.7-4
libstemmer 3.0.1-1
libsynctex 2025.2-2
libsysprof-capture 49.0-1
libtar 1.2.20-7
libtasn1 4.20.0-1
libteam 1.32-2
libtermkey 0.22-3
libtg_owt 0.git30.62321fd-2
libthai 0.1.29-3
libtheora 1.2.0-1
libthinkpad 2.6-5
libtiff 4.7.1-1
libtiger 0.3.4-8
libtirpc 1.3.7-1
libtommath 1.3.0-1
libtool 2.6.0-1
libtpms 0.10.1-1
libtraceevent 1:1.8.4-1
libtracefs 1.8.2-2
libunibreak 6.1-1
libunistring 1.3-1
libunrar 1:7.1.10-1
libunwind 1.8.2-1
libupnp 1.14.25-1
liburcu 0.15.3-1
liburing 2.12-1
libusb 1.0.29-1
libusb-compat 0.1.8-2
libusbmuxd 2.1.1-1
libutempter 1.2.3-1
libutf8proc 2.10.0-1
libuv 1.51.0-1
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvirt 1:11.7.0-1
libvirt-glib 5.0.0-3
libvirt-python 1:11.7.0-1
libvisio 0.1.8-3
libvisual 0.4.2-2
libvlc 3.0.21-29
libvncserver 0.9.14-4
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.0-1
libvterm 0.3.3-2
libvterm01 0.1.4-2
libwacom 2.16.1-1
libwbclient 2:4.23.0-2
libwebp 1.6.0-2
libwireplumber 0.5.11-1
libwmf 0.2.13-4
libwnck3 43.3-1
libwpd 0.10.3-5
libwpe 1.16.3-1
libwpg 0.3.4-2
libwps 0.4.14-3
libx11 1.8.12-1
libx86emu 3.7-2
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdg-basedir 1.2.3-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfce4windowing 4.20.4-2
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.11.0-1
libxkbcommon-x11 1.11.0-1
libxkbfile 1.1.3-1
libxklavier 5.4-6
libxml2 2.15.0-1
libxmlb 0.3.24-1
libxmp 4.6.3-1
libxmu 1.2.1-1
libxnvctrl 580.82.09-1
libxpm 3.5.17-2
libxpresent 1.0.2-1
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxvmc 1.0.14-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-18
licenses 20240728-1
light-locker 1.9.0-5
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
lightdm-gtk-greeter-settings 1.2.3-3
lilv 0.24.26-1
linux 6.16.8.arch3-1
linux-api-headers 6.16-2
linux-atm 2.5.2-9
linux-firmware 20250917-1
linux-firmware-amdgpu 20250917-1
linux-firmware-atheros 20250917-1
linux-firmware-broadcom 20250917-1
linux-firmware-cirrus 20250917-1
linux-firmware-intel 20250917-1
linux-firmware-mediatek 20250917-1
linux-firmware-nvidia 20250917-1
linux-firmware-other 20250917-1
linux-firmware-radeon 20250917-1
linux-firmware-realtek 20250917-1
linux-firmware-whence 20250917-1
linux-headers 6.16.8.arch3-1
linux-lts 6.12.48-1
linux-lts-headers 6.12.48-1
lirc 1:0.10.2-5
lite-xl 2.1.8-2
lite-xl-debug 2.1.3-1
live-media 2025.05.24-1
lld 20.1.8-1
lld16 16.0.6-1
lld18 18.1.6-2
lld19 19.1.7-2
llhttp 9.2.1-2
llvm 20.1.8-1
llvm-libs 20.1.8-1
llvm15-libs 15.0.7-3
llvm16-libs 16.0.6-1
llvm18-libs 18.1.8-2
llvm19-libs 19.1.7-2
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lnav 0.13.2-1
logrotate 3.22.0-1
lokalize 25.08.1-1
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lskat 25.08.1-1
lsof 4.99.5-2
lsscsi 0.32-2
lua 5.4.8-2
lua-language-server 3.15.0-1
lua-lpeg 1.1.0-4
lua51 5.1.5-13
lua51-filesystem 1.8.0-5
lua51-lpeg 1.1.0-4
lua52 5.2.4-8
lua53 5.3.6-4
luajit 2.1.1753364724-1
luakit 2.4.0-1
luit 20250912-1
lv2 1.18.10-1
lvm2 2.03.35-1
lxappearance-gtk3 0.6.4-1
lxmenu-data 0.1.6-1
lz4 1:1.10.0-2
lzo 2.10-5
m17n-db 1.8.8-1
m17n-lib 1.8.5-1
m4 1.4.20-1
maeparser 1.3.3-1
mailcap 2.1.54-2
mailcommon 25.08.1-1
mailimporter 25.08.1-1
make 4.4.1-2
maliit-framework 2.3.0-3
maliit-keyboard 2.3.1-4
man-db 2.13.1-1
man-pages 6.15-1
marble 25.08.1-2
marble-common 25.08.1-2
mariadb 12.0.2-1
mariadb-clients 12.0.2-1
mariadb-libs 12.0.2-1
markdownpart 25.08.1-1
masterpdfeditor 5.9.90-1
masterpdfeditor-debug 5.9.90-1
masterpdfeditor-free 4.3.89-1
mathjax 4.0.0-1
mbedtls 3.6.4-1
mbedtls2 2.28.10-1
mbox-importer 25.08.1-1
md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
meld 3.22.3-1
menu-cache 1.1.1-1
mergiraf 0.14.0-1
merkuro 25.08.1-1
mesa 1:25.2.3-2
mesa-utils 9.0.0-7
meson 1.9.1-1
messagelib 25.08.1-1
metis 5.2.1-2
micro 2.0.14-1
milou 6.4.5-1
mimetreeparser 25.08.1-1
minikube 1.36.0-1
minizip 1:1.3.1-2
minizip-ng 4.0.10-1
minuet 25.08.1-1
mjpegtools 2.2.1-3
mkinitcpio 39.2-5
mkinitcpio-busybox 1.36.1-1
mkinitcpio-nfs-utils 0.3-8
mkinitcpio-openswap 0.1.0-3
mlt 7.32.0-3
mobile-broadband-provider-info 20250613-1
modemmanager 1.24.2-1
modemmanager-qt 6.18.0-1
modemmanager-qt5 5.116.0-1
molequeue 0.9.0-4
mousepad 0.6.5-1
mousetweaks 3.32.0-2
mpdecimal 4.0.1-1
