juk 23.08.3-1
k3b 1:23.08.3-2
kactivitymanagerd 5.27.9-1
kaddressbook 23.08.3-1
kajongg 23.08.3-1
kakoune 2023.07.29-1
kalarm 23.08.3-1
kalgebra 23.08.3-2
kalk 23.08.3-1
kalzium 23.08.3-1
kamera 23.08.3-1
kamoso 23.08.3-1
kanagram 23.08.3-1
kapman 23.08.3-1
kapptemplate 23.08.3-1
kasts 23.08.3-1
kate 23.08.3-1
katomic 23.08.3-1
kbackup 23.08.3-1
kblackbox 23.08.3-1
kblocks 23.08.3-1
kbounce 23.08.3-1
kbreakout 23.08.3-1
kbruch 23.08.3-1
kcachegrind 23.08.3-1
kcalc 23.08.3-1
kcharselect 23.08.3-1
kclock 23.08.3-1
kcolorchooser 23.08.3-1
kcron 23.08.3-1
kde-cli-tools 5.27.9-1
kde-dev-scripts 23.08.3-1
kde-dev-utils 23.08.3-1
kde-gtk-config 5.27.9-1
kde-inotify-survey 23.08.3-1
kdebugsettings 23.08.3-1
kdeconnect 23.08.3-2
kdegraphics-thumbnailers 23.08.3-2
kdenetwork-filesharing 23.08.3-1
kdenlive 23.08.3-1
kdepim-addons 23.08.3-1
kdeplasma-addons 5.27.9-1
kdesdk-kio 23.08.3-1
kdesdk-thumbnailers 23.08.3-1
kdevelop 23.08.3-1
kdevelop-php 23.08.3-1
kdevelop-python 23.08.3-1
kdf 23.08.3-1
kdialog 23.08.3-1
kdiamond 23.08.3-1
keditbookmarks 23.08.3-1
keyserver-rank 1.2.4-1
keysmith 23.08.3-1
kfind 23.08.3-1
kfourinline 23.08.3-1
kgamma5 5.27.9-1
kgeography 23.08.3-1
kget 23.08.3-1
kgoldrunner 23.08.3-1
kgpg 23.08.3-1
khangman 23.08.3-1
khelpcenter 23.08.3-1
khotkeys 5.27.9-1
kig 23.08.3-1
kigo 23.08.3-1
killbots 23.08.3-1
kimagemapeditor 23.08.3-1
kinfocenter 5.27.9-1
kinit 5.112.0-1
kio-admin 23.08.3-1
kio-gdrive 23.08.3-1
kio-zeroconf 23.08.3-1
kirigami-gallery 23.08.3-1
kiriki 23.08.3-1
kiten 23.08.3-1
kitty 0.31.0-1
kjournald 23.08.3-1
kjumpingcube 23.08.3-1
kleopatra 23.08.3-1
klettres 23.08.3-1
klickety 23.08.3-1
klines 23.08.3-1
kmag 23.08.3-1
kmahjongg 23.08.3-1
kmail 23.08.3-1
kmail-account-wizard 23.08.3-1
kmenuedit 5.27.9-1
kmines 23.08.3-1
kmix 23.08.3-1
kmousetool 23.08.3-1
kmouth 23.08.3-1
kmplot 23.08.3-1
knavalbattle 23.08.3-1
knetwalk 23.08.3-1
knights 23.08.3-1
knotes 23.08.3-1
koko 23.08.3-2
kolf 23.08.3-1
kollision 23.08.3-1
kolourpaint 23.08.3-1
kompare 23.08.3-1
kompose 1.31.0-1
kongress 23.08.3-1
konqueror 23.08.3-1
konquest 23.08.3-1
konsole 23.08.3-1
kontact 23.08.3-1
kontrast 23.08.3-1
konversation 23.08.3-1
kopete 23.08.3-1
korganizer 23.08.3-1
kpat 23.08.3-1
kpipewire 5.27.9-1
krdc 23.08.3-1
krecorder 23.08.3-1
kreversi 23.08.3-1
krfb 23.08.3-1
kruler 23.08.3-1
kscreen 5.27.9-1
kscreenlocker 5.27.9-1
kshisen 23.08.3-1
ksirk 23.08.3-1
ksnakeduel 23.08.3-1
ksnip 1.10.1-1
kspaceduel 23.08.3-1
ksquares 23.08.3-1
ksshaskpass 5.27.9-1
ksudoku 23.08.3-1
ksystemlog 23.08.3-1
ksystemstats 5.27.9-1
kteatime 23.08.3-1
ktimer 23.08.3-1
ktorrent 23.08.3-1
ktouch 23.08.3-1
ktrip 23.08.3-1
ktuberling 23.08.3-1
kturtle 23.08.3-1
kubrick 23.08.3-1
kwallet-pam 5.27.9-1
kwalletmanager 23.08.3-1
kwave 23.08.3-1
kwayland-integration 5.27.9-1
kweather 23.08.3-1
kwin 5.27.9-1
kwordquiz 23.08.3-1
kwrited 5.27.9-1
layer-shell-qt 5.27.9-1
lazygit 0.40.2-1
less 1:643-1
lf 31-1
libdvdcss 1.4.3-1
libgsf 1.14.51-1
libkscreen 5.27.9-1
libksysguard 5.27.9-1
libldap24 2.4.59-1
libopenraw 0.3.7-1
libreoffice-fresh 7.6.3-2
libtool 2.4.7+4+g1ec8fa28-6
libva-mesa-driver 1:23.2.1-2
libwnck3 43.0-3
light-locker 1.9.0-5
lightdm 1:1.32.0-4
lightdm-gtk-greeter 1:2.0.8-3
lightdm-gtk-greeter-settings 1.2.2-8
linux 6.6.3.arch1-1
linux-atm 2.5.2-8
linux-firmware 20231110.74158e7a-1
linux-headers 6.6.3.arch1-1
linux-lts 6.1.64-1
linux-lts-headers 6.1.64-1
lite-xl 2.1.1-1
lnav 0.11.2-1
logrotate 3.21.0-2
